Unnamed: 0,pl_name,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
146,EPIC 206032309 b,1,1,1,4,2,161.365,1.793,-1.793,161.365,1.793,-1.793,0.0
147,EPIC 206042996 b,1,1,2,4,2,451.769,13.976,-13.176,451.769,13.976,-13.176,0.0
148,EPIC 206042996 c,2,1,2,4,2,451.769,13.976,-13.176,451.769,13.976,-13.176,0.0
149,EPIC 206215704 b,1,1,1,4,2,109.888,1.08,-1.08,109.888,1.08,-1.08,1.0
150,EPIC 206317286 b,1,1,2,4,2,314.35,2.936,-2.882,314.35,2.936,-2.882,0.0
151,EPIC 206317286 c,2,1,2,4,2,314.35,2.936,-2.882,314.35,2.936,-2.882,0.0
152,EPIC 211822797 b,1,1,1,4,2,186.197,1.3645,-1.3645,186.197,1.3645,-1.3645,1.0
153,EPIC 211945201 b,1,1,1,4,2,181.69,1.295,-1.277,181.69,1.295,-1.277,0.0
154,EPIC 212297394 b,1,1,2,4,2,418.395,7.353,-7.107,418.395,7.353,-7.107,1.0
155,EPIC 212297394 c,2,1,2,4,2,418.395,7.353,-7.107,418.395,7.353,-7.107,1.0
156,EPIC 212424622 b,1,1,1,4,2,611.804,10.285,-9.956,611.804,10.285,-9.956,0.0
157,EPIC 212499991 b,1,1,1,4,2,283.29,2.043,-2.015,283.29,2.043,-2.015,0.0
158,EPIC 212587672 b,1,1,2,4,2,320.07,6.392,-6.152,320.07,6.392,-6.152,1.0
159,EPIC 212587672 c,2,1,2,4,2,320.07,6.392,-6.152,320.07,6.392,-6.152,1.0
160,EPIC 212624936 b,1,1,2,4,2,561.929,8.913,-8.644,561.929,8.913,-8.644,1.0
161,EPIC 212624936 c,2,1,2,4,2,561.929,8.913,-8.644,561.929,8.913,-8.644,1.0
162,EPIC 212737443 b,1,1,2,4,2,336.25,4.743,-4.615,336.25,4.743,-4.615,2.0
163,EPIC 212737443 c,2,1,2,4,2,336.25,4.743,-4.615,336.25,4.743,-4.615,2.0
164,EPIC 220492298 b,1,1,1,4,2,624.512,14.947,-14.947,624.512,14.947,-14.947,1.0
165,EPIC 220554210 c,2,1,2,4,2,496.289,7.902,-7.663,496.289,7.902,-7.663,0.0
