Unnamed: 0,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
99,1,1,2,4,2,591.555,16.043,-15.232,591.555,16.043,-15.232,0.0
1888,1,1,2,7,1,8240.0,1020.0,-1160.0,8240.0,1020.0,-1160.0,2.0
5301,1,1,2,4,1,122.91,0.568,-0.562,122.91,0.568,-0.562,0.0
3315,3,1,3,4,2,875.519,9.893,-9.679,875.519,9.893,-9.679,1.0
2087,3,1,6,4,2,646.346,6.375,-6.375,646.346,6.375,-6.375,1.0
4912,1,1,1,4,1,367.658,8.089,-7.755,367.658,8.089,-7.755,0.0
3933,2,3,5,4,2,36.4396,0.0395,-0.0394,36.4396,0.0395,-0.0394,5.0
3954,1,2,1,4,2,442.846,2.7245,-2.7245,442.846,2.7245,-2.7245,3.0
5217,2,1,2,4,2,27.1701,0.03205,-0.03205,27.1701,0.03205,-0.03205,0.0
366,1,1,1,4,1,143.651,0.583,-0.579,143.651,0.583,-0.579,0.0
3047,1,1,1,4,2,748.569,12.972,-12.545,748.569,12.972,-12.545,0.0
4056,1,1,1,4,2,784.23,9.736,-9.736,784.23,9.736,-9.736,1.0
4279,1,1,1,4,2,1023.07,30.1905,-30.1905,1023.07,30.1905,-30.1905,1.0
3076,2,1,3,4,2,610.326,6.0115,-6.0115,610.326,6.0115,-6.0115,1.0
949,1,1,1,4,2,196.852,0.777,-0.771,196.852,0.777,-0.771,0.0
2095,1,1,1,4,2,1246.05,30.82,-29.4,1246.05,30.82,-29.4,1.0
19,1,4,1,1,1,44.657,0.1039,-0.1034,44.657,0.1039,-0.1034,5.0
4742,1,1,1,7,1,7100.0,1100.0,-1000.0,7100.0,1100.0,-1000.0,4.0
668,1,1,1,1,1,18.2692,0.0158,-0.0157,18.2692,0.0158,-0.0157,1.0
218,1,1,2,1,1,15.1968,0.013,-0.0129,15.1968,0.013,-0.0129,1.0
4617,1,1,1,4,2,1260.78,59.01,-59.01,1260.78,59.01,-59.01,1.0
3311,2,1,3,4,2,594.447,4.952,-4.872,594.447,4.952,-4.872,1.0
3149,1,1,1,4,2,984.187,29.853,-28.173,984.187,29.853,-28.173,0.0
3995,1,1,1,4,2,382.136,2.819,-2.779,382.136,2.819,-2.779,1.0
585,1,1,1,1,1,148.934,1.092,-1.076,148.934,1.092,-1.076,0.0
5230,1,1,1,4,2,65.1769,0.0993,-0.0989,65.1769,0.0993,-0.0989,0.0
2706,1,1,1,4,2,2013.27,122.23,-109.27,2013.27,122.23,-109.27,1.0
777,1,2,1,4,2,38.5653,0.0366,-0.0366,38.5653,0.0366,-0.0366,1.0
1921,4,1,8,4,2,848.254,10.8185,-10.8185,848.254,10.8185,-10.8185,0.0
1018,1,1,3,1,1,26.4131,0.0265,-0.0265,26.4131,0.0265,-0.0265,1.0
5097,1,1,1,4,2,361.857,6.349,-6.138,361.857,6.349,-6.138,0.0
2732,1,1,1,4,2,460.91,2.749,-2.716,460.91,2.749,-2.716,1.0
4531,1,1,1,4,2,1082.16,25.93,-24.77,1082.16,25.93,-24.77,1.0
1471,1,1,1,4,2,381.878,7.649,-7.36,381.878,7.649,-7.36,0.0
2416,1,1,1,4,2,890.724,27.58,-25.998,890.724,27.58,-25.998,1.0
2456,1,1,1,4,2,1303.22,54.57,-50.43,1303.22,54.57,-50.43,1.0
517,1,1,2,4,2,79.5561,0.1488,-0.1483,79.5561,0.1488,-0.1483,0.0
4722,1,1,1,7,1,6890.0,770.0,-770.0,6890.0,770.0,-770.0,3.0
1918,1,1,8,4,2,848.254,10.8185,-10.8185,848.254,10.8185,-10.8185,0.0
2498,1,1,1,4,2,1425.43,4.8765,-4.7835,1425.43,4.8765,-4.7835,1.0
4044,2,1,3,4,2,321.542,2.42,-2.383,321.542,2.42,-2.383,1.0
4192,3,1,3,4,2,900.678,16.3815,-16.3815,900.678,16.3815,-16.3815,0.0
2669,1,1,3,4,2,489.876,3.8095,-3.8095,489.876,3.8095,-3.8095,1.0
1786,1,1,1,4,2,62.5785,0.2828,-0.2803,62.5785,0.2828,-0.2803,0.0
2857,1,1,1,4,2,2065.98,117.37,-105.64,2065.98,117.37,-105.64,0.0
5429,2,2,2,1,1,89.9606,0.3648,-0.3618,89.9606,0.3648,-0.3618,5.0
1052,2,1,2,1,1,37.4574,0.0463,-0.0461,37.4574,0.0463,-0.0461,1.0
4487,2,1,5,4,2,1023.9,4.8765,-4.7835,1023.9,4.8765,-4.7835,1.0
759,1,2,1,1,1,104.577,0.5735,-0.5735,104.577,0.5735,-0.5735,1.0
4519,1,1,2,4,2,586.137,7.904,-7.7,586.137,7.904,-7.7,1.0
3571,2,1,3,4,2,1699.19,73.32,-67.61,1699.19,73.32,-67.61,1.0
214,1,1,1,4,2,22.4751,0.02605,-0.02605,22.4751,0.02605,-0.02605,0.0
1544,1,1,1,4,2,360.76,15.805,-14.554,360.76,15.805,-14.554,0.0
3518,1,1,2,4,2,976.643,15.738,-15.254,976.643,15.738,-15.254,1.0
1468,1,1,1,4,2,300.64,4.186,-4.075,300.64,4.186,-4.075,0.0
5067,1,1,1,4,2,19.5711,0.0377,-0.0376,19.5711,0.0377,-0.0376,0.0
1419,3,1,3,4,2,329.041,4.293,-4.185,329.041,4.293,-4.185,1.0
3053,1,1,1,4,2,799.699,12.0365,-12.0365,799.699,12.0365,-12.0365,0.0
196,1,1,3,1,1,15.1285,0.0072,-0.0072,15.1285,0.0072,-0.0072,0.0
1501,1,1,2,4,2,170.562,1.36,-1.338,170.562,1.36,-1.338,0.0
4503,4,1,4,4,2,765.025,13.683,-13.219,765.025,13.683,-13.219,1.0
1747,2,1,2,4,2,112.467,0.491,-0.487,112.467,0.491,-0.487,0.0
3919,1,1,1,4,2,1878.31,77.94,-72.07,1878.31,77.94,-72.07,1.0
1056,2,1,2,1,1,84.3552,0.456,-0.456,84.3552,0.456,-0.456,0.0
2486,1,1,1,4,2,544.456,4.8765,-4.7835,544.456,4.8765,-4.7835,1.0
887,2,2,2,1,1,55.4847,0.2469,-0.2448,55.4847,0.2469,-0.2448,1.0
4421,1,1,1,4,2,817.584,12.25,-11.899,817.584,12.25,-11.899,1.0
3839,1,1,3,4,2,1058.72,24.62,-23.54,1058.72,24.62,-23.54,1.0
3010,2,1,2,4,2,605.68,6.565,-6.565,605.68,6.565,-6.565,1.0
568,1,1,1,1,1,153.647,0.854,-0.854,153.647,0.854,-0.854,0.0
4325,1,1,1,4,2,853.119,20.172,-20.172,853.119,20.172,-20.172,1.0
3105,5,1,5,4,2,177.594,0.774,-0.774,177.594,0.774,-0.774,2.0
1436,2,1,2,4,2,160.679,1.15,-1.135,160.679,1.15,-1.135,0.0
139,1,1,1,4,2,577.6,33.2,-29.8,577.6,33.2,-29.8,0.0
4154,1,1,2,4,2,643.009,7.6335,-7.6335,643.009,7.6335,-7.6335,1.0
2006,1,1,1,4,2,721.534,4.8765,-4.7835,721.534,4.8765,-4.7835,1.0
1149,1,1,1,1,1,61.3603,0.0839,-0.0837,61.3603,0.0839,-0.0837,0.0
4387,2,1,3,4,2,930.457,19.353,-18.594,930.457,19.353,-18.594,1.0
4486,1,1,5,4,2,1023.9,4.8765,-4.7835,1023.9,4.8765,-4.7835,1.0
2251,1,1,1,4,2,961.907,33.758,-31.58,961.907,33.758,-31.58,1.0
463,1,1,1,1,1,49.5336,0.1459,-0.1451,49.5336,0.1459,-0.1451,1.0
